Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Deja Vu Productions,"['3767 Clarington Ave', 'Los Angeles, CA 90034']",Los Angeles,5.0,46,"{'latitude': 34.0227607, 'longitude': -118.401562}",,AIorRjq6ITwIVqIcXedwdw,"[{'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Lacy Street Production Center,"['2630 Lacy St', 'Los Angeles, CA 90031']",Los Angeles,4.5,3,"{'latitude': 34.0821533, 'longitude': -118.2197573}",,Htb2OK44MLUJXGCPlV9FbQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}]"
The Rose Room,"['6 Rose Ave', 'Los Angeles, CA 90291']",Los Angeles,5.0,7,"{'latitude': 33.9947194648502, 'longitude': -118.480286767107}",,wjBSAWFFNvYI_5YtYJjtiA,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
ADS,"['948 N Cahuenga Blvd', 'Los Angeles, CA 90038']",Los Angeles,5.0,2,"{'latitude': 34.0883278101683, 'longitude': -118.328787535429}",,2sYOZeVig4kgRS_GCI81VQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
ReKon Productions,"['4200 Sepulveda Blvd', 'Ste 102', 'Culver City, CA 90230']",Culver City,5.0,7,"{'latitude': 34.0061556, 'longitude': -118.4115555}",,PZPp6DRNvRmhLYx6MFwAiw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
EVS,"['1819 Victory Blvd', 'Glendale, CA 91201']",Glendale,4.5,45,"{'latitude': 34.1632843017578, 'longitude': -118.302536010742}",,KCvL_wFRZjfvAMrH9KHEkw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Castex Rentals,"['1044 Cole Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,29,"{'latitude': 34.0902989663147, 'longitude': -118.329701932541}",,9ThlqCyvOAPrgedis6Bw0A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Warner Bros Studios,"['4000 Warner Blvd', 'Burbank, CA 91505']",Burbank,4.0,218,"{'latitude': 34.1481742858887, 'longitude': -118.338485717773}",,VPXLr69qTY4XqyDLWkkQ2A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Long Haul Films,"['1855 Industrial St', 'Los Angeles, CA 90021']",Los Angeles,5.0,7,"{'latitude': 34.0360135, 'longitude': -118.2331568}",,u2aUhaGXzVPlgzDVgOEvlQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Create Your Reel,"['4533 Van Nuys Blvd', 'Ste 301', 'Los Angeles, CA 91403']",Los Angeles,4.5,48,"{'latitude': 34.154054, 'longitude': -118.448992}",,UuSL8AqYaVfzOIzs3kY9jQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}]"
Samy's Cinema Works,"['431 S Fairfax Ave', 'Los Angeles, CA 90036']",Los Angeles,5.0,7,"{'latitude': 34.0689, 'longitude': -118.36171}",,oiTaq45uMOq7RAnlA1eDkg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'photographystores', 'title': 'Photography Stores & Services'}]"
Illuminar,"['119 East Palmer Ave', 'Glendale, CA 91205']",Glendale,5.0,5,"{'latitude': 34.1328034036668, 'longitude': -118.25406172576}",,LLemAlYrz-kPyFLgjfDhwA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
