Name,Address,City,Rating,Review Count,Coordinates,Price
Best Buy,"['2909 Los Feliz Blvd', 'Los Angeles, CA 90039']",Los Angeles,2.0,547,"{'latitude': 34.1277208072098, 'longitude': -118.265316296015}",2.0
Ametron,"['10919 Vanowen St', 'North Hollywood, CA 91605']",North Hollywood,3.5,76,"{'latitude': 34.194612, 'longitude': -118.3692321}",2.0
Frankie's Photo Booth,"['29619 S Western Ave', 'Rancho Palos Verdes, CA 90275']",Rancho Palos Verdes,5.0,4,"{'latitude': 33.7479553222656, 'longitude': -118.309913635254}",
PeppDigital Media,"['9811 Owensmouth Ave', 'Los Angeles, CA 91311']",Los Angeles,5.0,1,"{'latitude': 34.248636, 'longitude': -118.602473}",
Advanced Media,"['369 N Fairfax Ave', 'Ste A', 'Los Angeles, CA 90036']",Los Angeles,4.5,69,"{'latitude': 34.0777801, 'longitude': -118.3616049}",
F22 Studios,"['610 N Victory Blvd', 'Burbank, CA 91502']",Burbank,5.0,1,"{'latitude': 34.1798235, 'longitude': -118.3190594}",
Wooden Nickel Lighting,"['6920 Tujunga Ave', 'North Hollywood, CA 91605']",North Hollywood,4.0,36,"{'latitude': 34.1959227188522, 'longitude': -118.37754324954}",2.0
Video Equipment Rentals,"['912 Ruberta Ave', 'Glendale, CA 91201']",Glendale,3.0,10,"{'latitude': 34.1659202575684, 'longitude': -118.289619445801}",
KitSplit,"['Burbank, CA 91505']",Burbank,5.0,2,"{'latitude': 34.15592, 'longitude': -118.34321}",
Pollution Studios,"['3239 E Union Pacific', 'Los Angeles, CA 90023']",Los Angeles,5.0,27,"{'latitude': 34.01679, 'longitude': -118.20969}",
Third Eye Photo Booth,"['Los Angeles, CA 90017']",Los Angeles,5.0,112,"{'latitude': 34.0523986816406, 'longitude': -118.26335144043}",
Beyond Cinema,"['5700 Wilshire Blvd', 'Ste 250', 'Los Angeles, CA 90036']",Los Angeles,5.0,3,"{'latitude': 34.0622559, 'longitude': -118.3527069}",
Film Independent,"['5670 Wilshire Blvd', '9th Floor', 'Los Angeles, CA 90036']",Los Angeles,4.0,9,"{'latitude': 34.061668, 'longitude': -118.352289}",
Manhattan Beach Studios,"['1600 Rosecrans Ave', 'Bldg 7, Ste 101', 'Manhattan Beach, CA 90266']",Manhattan Beach,5.0,8,"{'latitude': 33.901611, 'longitude': -118.3842111}",
WOVA World of Video & Audio,"['1155 S Robertson Blvd', 'Los Angeles, CA 90035']",Los Angeles,5.0,53,"{'latitude': 34.0555809, 'longitude': -118.38399}",
Location Sound,"['10639 Riverside Dr', 'North Hollywood, CA 91602']",North Hollywood,4.5,23,"{'latitude': 34.152511, 'longitude': -118.363042}",1.0
Best Buy,"['1015 N La Brea Ave', 'West Hollywood, CA 90038']",West Hollywood,2.5,717,"{'latitude': 34.0893264938506, 'longitude': -118.344666434988}",2.0
Action Audio & Visual,"['5907 Yarmouth Ave', 'Encino, CA 91316']",Encino,4.0,35,"{'latitude': 34.1778465477661, 'longitude': -118.519774523636}",
Cam Photo & Imaging,"['519 N Glenoaks Blvd', 'Burbank, CA 91502']",Burbank,4.0,70,"{'latitude': 34.186183, 'longitude': -118.310675}",2.0
Hollywood Audio Video Transfer House,"['4900 Santa Monica Blvd', 'Los Angeles, CA 90029']",Los Angeles,5.0,48,"{'latitude': 34.090599, 'longitude': -118.296249}",
