Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Markus Maro Productions,"['600 Garson Drive NE', '7001', 'Atlanta, GA 30324']",Atlanta,5.0,1,"{'latitude': 33.8179138090473, 'longitude': -84.3689188758511}",,9ekOTY4pQ8Fg2X3AMScZeg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]"
Creative Media Of Atlanta,"['2783 Seneca Trl', 'Duluth, GA 30096']",Duluth,5.0,1,"{'latitude': 33.95959, 'longitude': -84.16735}",,rlcSqQD1gIrHLqGLIuNEJQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
WaveGuide Studios,"['2062 Weems Rd', 'Tucker, GA 30084']",Tucker,5.0,1,"{'latitude': 33.8438263, 'longitude': -84.250885}",,dON3OGr5BnosKn57nq4n6Q,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
BNSpired Production,"['Atlanta, GA 30341']",Atlanta,1.0,1,"{'latitude': 33.89222, 'longitude': -84.30452}",,CVnR_MLr2aRuztOyedf03A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Trew Audio,"['1706 Defoor Pl NW', 'Atlanta, GA 30318']",Atlanta,5.0,1,"{'latitude': 33.8019409, 'longitude': -84.4229126}",,9EqJvvhPq-RwrA2FygB1ww,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'electronicsrepair', 'title': 'Electronics Repair'}]"
Ground Floor Video,"['110 Arnold Mill Park', 'Woodstock, GA 30188']",Woodstock,5.0,2,"{'latitude': 34.1032, 'longitude': -84.50789}",,ynB6RFI1lCjHcU25u_-Jtg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Organic Music Marketing,"['Atlanta, GA 30306']",Atlanta,5.0,1,"{'latitude': 33.7831878662109, 'longitude': -84.3523101806641}",,qH-9Absew3IU14MazzdD9A,"[{'alias': 'marketing', 'title': 'Marketing'}, {'alias': 'web_design', 'title': 'Web Design'}, {'alias': 'graphicdesign', 'title': 'Graphic Design'}]"
730 Vision,"['Decatur, GA 30030']",Decatur,3.0,2,"{'latitude': 33.77357, 'longitude': -84.29745}",,zg1_4hGbvdFanqMEinn7gA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'graphicdesign', 'title': 'Graphic Design'}]"
Georgia Event Specialists,"['1103 Clifton Rd', 'Atlanta, GA 30307']",Atlanta,5.0,2,"{'latitude': 33.7848217, 'longitude': -84.323797}",,X49ZgcWHbCu2_9TQDJF_Fw,"[{'alias': 'eventplanning', 'title': 'Party & Event Planning'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
AVA,"['800 Forrest St NW', 'Ste 2', 'Atlanta, GA 30318']",Atlanta,5.0,1,"{'latitude': 33.7957962, 'longitude': -84.4141168}",,Hy6KzqAZEg9-9vdxFdrLPA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]"
Kissworks Studios,"['1816 Briarwood Industrial Ct NE', 'Atlanta, GA 30329']",Atlanta,5.0,1,"{'latitude': 33.8431919438946, 'longitude': -84.3207482066039}",,A2qzGmm1J09cJi2DUAnjbw,"[{'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'dancestudio', 'title': 'Dance Studios'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
Arcade 160 Studios,"['587 Virginia Ave Ne', 'Ste 1', 'Atlanta, GA 30306']",Atlanta,4.5,2,"{'latitude': 33.78062, 'longitude': -84.36827}",,T82l4cb-1jzrkUxQk_Yd_g,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
Meca Cole Direction,"['Atlanta, GA 30349']",Atlanta,1.0,1,"{'latitude': 33.6113128662109, 'longitude': -84.4715347290039}",,DCbVaOgM2zlKKxBuu2RtzQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Angle 3 Films,"['3940 Buford Hwy', 'B108', 'Duluth, GA 30096']",Duluth,5.0,4,"{'latitude': 33.97722, 'longitude': -84.16139}",,AypBhUFJl6a6rqP9WII0FQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]"
People Store,"['645 Lambert Dr', 'Atlanta, GA 30324']",Atlanta,5.0,1,"{'latitude': 33.8111687, 'longitude': -84.3658905}",,dXL0UETHElKO4S81hs6CBQ,"[{'alias': 'talentagencies', 'title': 'Talent Agencies'}]"
Zachary Toth Photography,"['170 Blvd SE', 'Atlanta, GA 30312']",Atlanta,4.0,5,"{'latitude': 33.7503545, 'longitude': -84.3698329}",,uYITEZgEeUIyrNd8_ght-Q,"[{'alias': 'estatephotography', 'title': 'Real Estate Photography'}, {'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}]"
About Faces Models & Talent,"['3400 Peachtree Rd NE', 'Ste 147', 'Atlanta, GA 30326']",Atlanta,4.0,6,"{'latitude': 33.845908, 'longitude': -84.359913}",,xpyb8AeKS8vE746IIOySLQ,"[{'alias': 'talentagencies', 'title': 'Talent Agencies'}]"
ART Studios Media Production,"['925B Peachtree St NE', 'Ste 103', 'Atlanta, GA 30309']",Atlanta,5.0,3,"{'latitude': 33.7799183, 'longitude': -84.3839829}",,XWYJKAMnpY_1xK0kQe5Y3w,"[{'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'web_design', 'title': 'Web Design'}]"
Catapult Acting,"['1934 Cliff Valley Way NE', 'Ste B', 'Atlanta, GA 30329']",Atlanta,5.0,5,"{'latitude': 33.8353283, 'longitude': -84.3240081}",,oaBvoQs_xjExfXfLq6TyLA,"[{'alias': 'talentagencies', 'title': 'Talent Agencies'}]"
Positive Visions Media,"['Lawrenceville, GA 30043']",Lawrenceville,5.0,1,"{'latitude': 33.9751586914063, 'longitude': -84.0346374511719}",,tzVQo3DG_BoP1Sgzib09qA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'photographers', 'title': 'Photographers'}]"
