Name,Address,City,Rating,Review Count,Coordinates,Price
True Love Wedding Studio,"['188-04 Northern Blvd', 'Fl 2', 'Flushing, NY 11354']",Flushing,4.5,140,"{'latitude': 40.7575643, 'longitude': -73.7926571}",
Dream Wedding,"['144-67 Northern Blvd', 'Flushing, NY 11354']",Flushing,5.0,38,"{'latitude': 40.76507, 'longitude': -73.8210814}",
Howard Beach Studios,"['135-05 Cross Bay Blvd', 'Fl 2', 'Ozone Park, NY 11417']",Ozone Park,4.5,9,"{'latitude': 40.6735255, 'longitude': -73.8428633}",
All Affairs Party Rental,"['2255 59th St', 'Brooklyn, NY 11204']",Brooklyn,2.0,8,"{'latitude': 40.61657, 'longitude': -73.9761847}",
The Moment Photo Studio,"['New York, NY 10001']",New York,5.0,33,"{'latitude': 40.75095, 'longitude': -73.99811}",
Angelica Criscuolo Photography,"['Woodside, NY 10023']",Woodside,5.0,18,"{'latitude': 40.7479487, 'longitude': -73.9845343}",
Life Storage,"['1200 McDonald Ave', 'Brooklyn, NY 11230']",Brooklyn,2.5,3,"{'latitude': 40.624177, 'longitude': -73.976045}",
itsphototime Wedding & Event Photographer,"['Bronx, NY 10467']",Bronx,5.0,8,"{'latitude': 40.8723987, 'longitude': -73.8713099}",
Spy Store,"['355 7th ave', 'ste 302', 'New York, NY 10001']",New York,2.5,9,"{'latitude': 40.748304, 'longitude': -73.992378}",3.0
Wedding Hills,"['136-19 38th Ave', 'Fl 4', 'Flushing, NY 11354']",Flushing,4.5,59,"{'latitude': 40.7611931, 'longitude': -73.8300277}",
JackRabbit - Union Square,"['42 W 14th St', 'New York, NY 10011']",New York,4.0,346,"{'latitude': 40.7367146, 'longitude': -73.9956053}",2.0
Peloton,"['140 W 23rd St', 'New York, NY 10011']",New York,4.0,357,"{'latitude': 40.743259, 'longitude': -73.994377}",3.0
Wholesale Photo,"['85 Godwin Ave', 'Midland Park Shopping Center', 'Midland Park, NJ 07432']",Midland Park,2.5,13,"{'latitude': 40.9837421775145, 'longitude': -74.1388316177216}",2.0
Thor & Mason,"['775 Washington St', 'New York, NY 10014']",New York,2.5,15,"{'latitude': 40.737891, 'longitude': -74.00792}",
One World Trade Center,"['285 Fulton St', 'New York, NY 10007']",New York,4.5,493,"{'latitude': 40.712746, 'longitude': -74.01338}",
The Yard: Williamsburg,"['33 Nassau Ave', 'Brooklyn, NY 11222']",Brooklyn,3.5,18,"{'latitude': 40.7231917, 'longitude': -73.952991}",
Life Storage,"['390 S Van Brunt St', 'Englewood, NJ 07631']",Englewood,5.0,2,"{'latitude': 40.884176564104806, 'longitude': -73.98690414837209}",
Wedding Box Inc,"['3657 Main St', 'Fl 2', 'Flushing, NY 11354']",Flushing,2.5,11,"{'latitude': 40.7619534, 'longitude': -73.8311648}",
Smile U Are Famous,"['552 Grand Ave', 'ste200', 'Ridgefield, NJ 07657']",Ridgefield,4.5,58,"{'latitude': 40.8353, 'longitude': -74.00979}",
Alan David Custom,"['16 E 40th St', 'Ste 702', 'New York, NY 10016']",New York,5.0,77,"{'latitude': 40.7515434, 'longitude': -73.9809394}",2.0
P.C. Richard & Son,"['50-02 Queens Blvd', 'Woodside, NY 11377']",Woodside,3.5,78,"{'latitude': 40.742318, 'longitude': -73.914818}",2.0
Paragon Sports,"['867 Broadway', 'New York, NY 10003']",New York,3.5,674,"{'latitude': 40.737759621837, 'longitude': -73.9903309968226}",3.0
Life Storage,"['300 Allwood Rd', 'Clifton, NJ 07012']",Clifton,5.0,9,"{'latitude': 40.8382359, 'longitude': -74.1526047}",
REI,"['303 Lafayette St', 'New York, NY 10012']",New York,4.0,248,"{'latitude': 40.724813946668, 'longitude': -73.995204705279}",2.0
Content Party Rentals,"['50 Willow St', 'East Rutherford, NJ 07073']",East Rutherford,2.5,6,"{'latitude': 40.841198, 'longitude': -74.106076}",
Your Home International Corporation,"['333 7th Ave', 'New York, NY 10001']",New York,1.0,2,"{'latitude': 40.74741, 'longitude': -73.99297}",
Life Storage,"['1229 US Hwy 22', 'Mountainside, NJ 07092']",Mountainside,5.0,3,"{'latitude': 40.6767184214119, 'longitude': -74.3460966178604}",
Life Storage,"['480 Allen St', 'Elizabeth, NJ 07202']",Elizabeth,3.0,5,"{'latitude': 40.640289, 'longitude': -74.210694}",
Life Storage,"['95 Hudson Ave', 'Norwood, NJ 07648']",Norwood,4.0,1,"{'latitude': 40.99652, 'longitude': -73.94941}",
Life Storage,"['445 Wagaraw Rd', 'Fair Lawn, NJ 07410']",Fair Lawn,5.0,7,"{'latitude': 40.94267, 'longitude': -74.14628}",
Life Storage,"['125 Franklin St', 'Belleville, NJ 07109']",Belleville,4.5,10,"{'latitude': 40.781682, 'longitude': -74.181882}",
Best Buy Flushing,"['13107 40th Rd', 'Ste C300', 'Flushing, NY 11354']",Flushing,2.5,117,"{'latitude': 40.7563786, 'longitude': -73.836972}",2.0
Ovation Event Planning,"['185 Westbury Ave', 'Carle Place, NY 11514']",Carle Place,4.0,17,"{'latitude': 40.74928, 'longitude': -73.61385}",
P.C. Richard & Son,"['356 Baychester Ave', 'Bronx, NY 10475']",Bronx,3.5,63,"{'latitude': 40.8681969974121, 'longitude': -73.8306896003471}",2.0
Gun For Hire,"['1267 McBride Ave', 'Woodland Park, NJ 07424']",Woodland Park,4.5,524,"{'latitude': 40.889778, 'longitude': -74.216476}",2.0
Early Halloween,"['130 W 25th St', 'Fl 11', 'New York, NY 10001']",New York,2.5,3,"{'latitude': 40.744552, 'longitude': -73.993255}",
Inside Out Booth,"['207 Oak Ave', 'River Vale, NJ 07675']",River Vale,5.0,110,"{'latitude': 40.994614, 'longitude': -74.016451}",
Chelsea Flea Market,"['29-37 W 25th St', 'New York, NY 10011']",New York,3.0,31,"{'latitude': 40.7439570592643, 'longitude': -73.9913311166603}",1.0
Life Storage,"['268 Gatzmer Ave', 'Jamesburg, NJ 08831']",Jamesburg,4.5,6,"{'latitude': 40.355151, 'longitude': -74.445787}",
The Home Depot,"['550 Hamilton Ave', 'Brooklyn, NY 11232']",Brooklyn,2.0,203,"{'latitude': 40.6674681137716, 'longitude': -73.9989033968232}",2.0
Duane Reade,"['100 Delancey St', 'New York, NY 10002']",New York,2.0,34,"{'latitude': 40.718993, 'longitude': -73.988771}",2.0
St Nicholas of Tolentine Flea Market,"['150-75 Goethals Ave', 'Jamaica, NY 11432']",Jamaica,4.0,17,"{'latitude': 40.71893, 'longitude': -73.8096}",1.0
Life Storage,"['77 Willowbrook Blvd', 'Wayne, NJ 07470']",Wayne,3.0,4,"{'latitude': 40.885893, 'longitude': -74.253121}",
