Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Absolute Rentals,"['2633 N San Fernando Blvd', 'Burbank, CA 91504']",Burbank,5.0,3,"{'latitude': 34.1987255215645, 'longitude': -118.339196518064}",,cxx-Vvz_hmD5XFTnxmMJ2w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Westside Production Rentals,"['5601 W Slauson Ave', 'Ste 170', 'Culver City, CA 90230']",Culver City,5.0,11,"{'latitude': 33.98971, 'longitude': -118.37976}",,HU7DiiDHcTvEemp9FRQemA,"[{'alias': 'partyequipmentrentals', 'title': 'Party Equipment Rentals'}, {'alias': 'isps', 'title': 'Internet Service Providers'}]"
ReKon Productions,"['4200 Sepulveda Blvd', 'Ste 102', 'Culver City, CA 90230']",Culver City,5.0,7,"{'latitude': 34.0061556, 'longitude': -118.4115555}",,PZPp6DRNvRmhLYx6MFwAiw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Zynderia Studios,"['1741 Naud St', 'Los Angeles, CA 90012']",Los Angeles,5.0,2,"{'latitude': 34.0689743, 'longitude': -118.2259671}",,bx0CL8tqbpFQYaXpdw3_NA,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
"Hollywood Camera, Inc.","['3100 N Damon Way', 'Burbank, CA 91505']",Burbank,5.0,4,"{'latitude': 34.2049499, 'longitude': -118.3608}",,zm6Up7dCvXg_g6W0dhQkUA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'artspacerentals', 'title': 'Art Space Rentals'}]"
Magic Jump Rentals,"['9130 Glenoaks Blvd', 'Ste C', 'Sun Valley, CA 91352']",Sun Valley,4.5,538,"{'latitude': 34.2356577062482, 'longitude': -118.3714872}",,-EF5O8f9WKkiS9js3r_otw,"[{'alias': 'partysupplies', 'title': 'Party Supplies'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}, {'alias': 'bouncehouserentals', 'title': 'Bounce House Rentals'}]"
Film Independent,"['5670 Wilshire Blvd', '9th Floor', 'Los Angeles, CA 90036']",Los Angeles,4.0,9,"{'latitude': 34.061668, 'longitude': -118.352289}",,tcI8iIFoV18SKhv61RjAcg,"[{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Fanciful Fox Studio,"['857 S San Pedro St', 'Los Angeles, CA 90014']",Los Angeles,5.0,3,"{'latitude': 34.037553, 'longitude': -118.2502721}",,FM6uBOwohPUMj8NTMMEnYQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
Monk Space,"['4414 W 2nd St', 'Los Angeles, CA 90004']",Los Angeles,4.5,41,"{'latitude': 34.0709851, 'longitude': -118.3094999}",,ba3ZWCKQphqwJU4tgd7f9g,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'artspacerentals', 'title': 'Art Space Rentals'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Ostrich Farm Studio,"['1010 Sycamore Ave', 'Studio 107', 'South Pasadena, CA 91030']",South Pasadena,5.0,54,"{'latitude': 34.11129, 'longitude': -118.17481}",,ljC72kWJHkWk4xatNeRblg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}]"
Rail Productions,"['Burbank, CA 91505']",Burbank,5.0,13,"{'latitude': 34.1729478, 'longitude': -118.3562091}",,qORsm36TOwlMQzDSIh22oA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
Pivotal Video Productions,"['3625 E Thousand Oaks Blvd', 'Ste 118', 'Westlake Village, CA 91362']",Westlake Village,5.0,24,"{'latitude': 34.1655307, 'longitude': -118.8294559}",,xr1TUVLYm5fJt2R853dr_Q,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]"
Shoot Cut Deliver,"['18420 Vincennes St', 'Ste 102', 'Northridge, CA 91325']",Northridge,5.0,12,"{'latitude': 34.2404363, 'longitude': -118.5347001}",,SyYzgaCveC8ugYvuwuGSbA,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
