Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Line 204,"['1034 Seward St', 'Los Angeles, CA 90038']",Los Angeles,4.5,15,"{'latitude': 34.0900192260742, 'longitude': -118.332855224609}",,8FMVxiED4Av3aNcndA-nUg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Studio X,"['3031 N San Fernando Blvd', 'Ste 110', 'Burbank, CA 91504']",Burbank,5.0,1,"{'latitude': 34.2014110833406, 'longitude': -118.343156799674}",,O4EdoCBlnZvs9NKqV6OV1g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'dance_schools', 'title': 'Dance Schools'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
Pollution Studios,"['3239 E Union Pacific', 'Los Angeles, CA 90023']",Los Angeles,5.0,27,"{'latitude': 34.01679, 'longitude': -118.20969}",,6ZSuV16uMD20jkXjtgAOig,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Victory Studio 360,"['691 S La Brea', 'Inglewood, CA 90301']",Inglewood,4.5,2,"{'latitude': 33.95496, 'longitude': -118.35285}",,sFEOfHJIBfsIdPnbLbNN_w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}]"
Nvrless Films,"['Los Angeles, CA 90065']",Los Angeles,5.0,6,"{'latitude': 34.1149101257324, 'longitude': -118.240013122559}",,-l6L5aw9W142nwEPFU-bLw,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]"
PowerTale Productions,"['14622 Ventura Blvd', 'Ste 102', 'Sherman Oaks, CA 91403']",Sherman Oaks,5.0,8,"{'latitude': 34.151093, 'longitude': -118.452036}",,JsCdhR6iBHdbZOyBKzDjVw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'advertising', 'title': 'Advertising'}]"
La Reels,"['14724 Ventura Blvd', 'Sherman Oaks, CA 91403']",Sherman Oaks,5.0,16,"{'latitude': 34.1492508623412, 'longitude': -118.440448794473}",,Zwz_kWKbf-2nD-u3d9IcQg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Ken Shin Films,"['611 S Catalina St', 'Ste 222', 'Los Angeles, CA 90005']",Los Angeles,5.0,17,"{'latitude': 34.0624696, 'longitude': -118.2955}",,TIlsd7nI079VnqNwPW9YUw,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
TriCuzz Productions,"['Burbank, CA 91501']",Burbank,5.0,5,"{'latitude': 34.19467, 'longitude': -118.295016}",,wR9Bw-fFWIYwKg7sHgxNxA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
YouTube Space LA,"['12422 W Bluff Creek Dr', 'Los Angeles, CA 90094']",Los Angeles,4.5,43,"{'latitude': 33.97683, 'longitude': -118.407279}",,-UVJPyXP66ixOQQB5zrFHw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
