Name,Address,City,Rating,Review Count,Coordinates,Price
The Bunker Loft Location,"['1500 S Los Angeles St', 'Fl 2', 'Los Angeles, CA 90015']",Los Angeles,4.5,21,"{'latitude': 34.033413, 'longitude': -118.260765}",
Indie Lab Film Studios,"['2525 W 7th St', 'Los Angeles, CA 90057']",Los Angeles,2.5,2,"{'latitude': 34.0589629, 'longitude': -118.2823237}",1.0
BLARE Video,"['326 Mira Loma Ave', 'Glendale, CA 91204']",Glendale,5.0,1,"{'latitude': 34.123677, 'longitude': -118.256461}",
Central Station Media,"['11440 Ventura Blvd', 'Unit 200', 'Studio City, CA 91604']",Studio City,5.0,8,"{'latitude': 34.1391862, 'longitude': -118.3803122}",
Blacklist Digital,"['6666 Lexington Ave', 'Los Angeles, CA 90038']",Los Angeles,3.5,5,"{'latitude': 34.092091, 'longitude': -118.335488}",
True Vision Entertainment,"['1421 N Main St', 'Los Angeles, CA 90012']",Los Angeles,5.0,3,"{'latitude': 34.065556, 'longitude': -118.230698}",
ReKon Productions,"['4200 Sepulveda Blvd', 'Ste 102', 'Culver City, CA 90230']",Culver City,5.0,7,"{'latitude': 34.0061556, 'longitude': -118.4115555}",
Radiant Images,"['2702 Media Center Dr', 'Los Angeles, CA 90065']",Los Angeles,3.5,14,"{'latitude': 34.1080423, 'longitude': -118.2435245}",
Zynderia Studios,"['1741 Naud St', 'Los Angeles, CA 90012']",Los Angeles,5.0,2,"{'latitude': 34.0689743, 'longitude': -118.2259671}",
LA Grip Studios,"['4712 W Magnolia Blvd', 'Burbank, CA 91505']",Burbank,5.0,3,"{'latitude': 34.164614, 'longitude': -118.356636}",
The Lazarus Experience,"['224 E 11th St', 'Ste 501', 'Los Angeles, CA 90015']",Los Angeles,4.5,6,"{'latitude': 34.0378405, 'longitude': -118.2565238}",
Midas Mount,"['Culver City, CA 90230']",Culver City,5.0,1,"{'latitude': 33.9955215454102, 'longitude': -118.399909973145}",
Koed Films,"['7827 Noble Ave', 'Los Angeles, CA 91405']",Los Angeles,5.0,1,"{'latitude': 34.21257, 'longitude': -118.46225}",
L.A. Castle Studios,"['154 S Victory Blvd', 'Burbank, CA 91502']",Burbank,5.0,1,"{'latitude': 34.1727178, 'longitude': -118.3159544}",
Audio Department,"['2700 W Burbank Blvd', 'Burbank, CA 91505']",Burbank,5.0,7,"{'latitude': 34.17774, 'longitude': -118.34015}",
Contact Photo Lab,"['618 Moulton Ave', 'Ste E', 'Los Angeles, CA 90031']",Los Angeles,4.5,28,"{'latitude': 34.0646576460809, 'longitude': -118.218567453898}",2.0
IKO Studios,"['915 Mateo St', 'Ste 204', 'Los Angeles, CA 90021']",Los Angeles,5.0,6,"{'latitude': 34.0319213867188, 'longitude': -118.232574462891}",
MelroseMAC,"['6614 Melrose Ave', 'Hollywood, CA 90038']",Hollywood,4.0,388,"{'latitude': 34.083239, 'longitude': -118.33922}",3.0
Heywhatsyourface,"['7729 Burnet Ave', 'Van Nuys, CA 91605']",Van Nuys,5.0,10,"{'latitude': 34.2110416, 'longitude': -118.4634592}",
Keslow Camera,"['5900 Blackwelder St', 'Culver City, CA 90232']",Culver City,4.0,4,"{'latitude': 34.0302728, 'longitude': -118.374859}",
The Location Connection,"['Los Angeles, CA 90069']",Los Angeles,4.0,19,"{'latitude': 34.08841, 'longitude': -118.37783}",
Film With Us,"['499 N Canon Dr', 'Beverly Hills, CA 90210']",Beverly Hills,5.0,1,"{'latitude': 34.07187, 'longitude': -118.40286}",
The Complex Studios,"['2323 Corinth Ave', 'Los Angeles, CA 90064']",Los Angeles,5.0,1,"{'latitude': 34.035317, 'longitude': -118.440938}",
Sunkiss Loft Studio,"['620 S Main St', 'Ste 204', 'Los Angeles, CA 90015']",Los Angeles,5.0,1,"{'latitude': 34.0443542847768, 'longitude': -118.250448647675}",
The Pivot Spot,"['5044 Bakman Ave', 'North Hollywood, CA 91601']",North Hollywood,5.0,1,"{'latitude': 34.16201, 'longitude': -118.37693}",
The Network Studios,"['5701 W Slauson Ave', 'Ste 200', 'Culver City, CA 90230']",Culver City,5.0,11,"{'latitude': 33.989517, 'longitude': -118.381145}",
Smart Post Sound,"['919 Hollywood Way', 'Burbank, CA 91506']",Burbank,5.0,1,"{'latitude': 34.1667267, 'longitude': -118.3466269}",
Quixote Studios - West Hollywood,"['1011 N Fuller Ave', 'West Hollywood, CA 90046']",West Hollywood,5.0,34,"{'latitude': 34.0894444589141, 'longitude': -118.350065110381}",
Imperial Party Rentals,"['5012 Venice Blvd', 'Los Angeles, CA 90019']",Los Angeles,4.0,101,"{'latitude': 34.045343, 'longitude': -118.347254}",
Daniele Buccheri Films,"['Santa Clarita, CA 91355']",Santa Clarita,5.0,3,"{'latitude': 34.4400287, 'longitude': -118.5914696}",
Silver Dream Factory,"['1181 N Knollwood Cir', 'Anaheim, CA 92801']",Anaheim,3.5,24,"{'latitude': 33.84971, 'longitude': -117.98027}",
Melrose Lightspace,"['7600 Melrose Ave', 'Los Angeles, CA 90046']",Los Angeles,4.5,4,"{'latitude': 34.08341, 'longitude': -118.35555}",
The Greystone Stage and Green Screen Studio,"['8123 Foothill Blvd', 'Sunland, CA 91040']",Sunland,5.0,10,"{'latitude': 34.259953, 'longitude': -118.309988}",
AM  Video Productions,"['726 N Cole Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,2,"{'latitude': 34.084319, 'longitude': -118.329517}",
Birns & Sawyer,"['3039 Roswell St', 'Los Angeles, CA 90065']",Los Angeles,3.5,17,"{'latitude': 34.115214, 'longitude': -118.2441879}",2.0
The Sword and the Stone,"['1100 West Isabel St', 'Burbank, CA 91506']",Burbank,4.0,29,"{'latitude': 34.182121, 'longitude': -118.323158}",1.0
Art Lab Photo Studio,"['840 Santee Str', 'Ste 203', 'Los Angeles, CA 90014']",Los Angeles,5.0,12,"{'latitude': 34.0403567, 'longitude': -118.2525709}",
Bertone Visuals,"['229 California St', 'El Segundo, CA 90245']",El Segundo,5.0,3,"{'latitude': 33.91857, 'longitude': -118.40188}",
Deck of Aces Camera Rentals,"['1118 Chestnut St', 'Ste 102', 'Burbank, CA 91506']",Burbank,4.5,17,"{'latitude': 34.1801943784914, 'longitude': -118.323339271164}",2.0
Photo Experts,"['11701 Wilshire Blvd', 'Los Angeles, CA 90025']",Los Angeles,4.0,55,"{'latitude': 34.047655843211, 'longitude': -118.461985359525}",2.0
Santa Monica Picnic Co,"['Santa Monica, CA 90405']",Santa Monica,5.0,10,"{'latitude': 34.0091781616211, 'longitude': -118.471603393555}",
Optimist Studios,"['5431 W 104th St', 'Los Angeles, CA 90045']",Los Angeles,5.0,1,"{'latitude': 33.94244, 'longitude': -118.37516}",
