Name,Address,City,Rating,Review Count,Coordinates,Price
Burrata House,"['3272 Motor Ave', 'Los Angeles, CA 90034']",Los Angeles,4.5,391,"{'latitude': 34.0298228, 'longitude': -118.4106966}",2.0
The Production Truck,"['1120 Chestnut St', 'Burbank, CA 91506']",Burbank,5.0,16,"{'latitude': 34.1806487, 'longitude': -118.3236037}",
Viken Productions,"['Los Angeles, CA 90291']",Los Angeles,5.0,9,"{'latitude': 33.9989508586739, 'longitude': -118.45760509577}",
Bao Dim Sum House,"['8256 Beverly Blvd', 'Los Angeles, CA 90048']",Los Angeles,4.0,3023,"{'latitude': 34.07577, 'longitude': -118.36982}",2.0
Shabu Shabu House,"['127 Japanese Village Plaza Mall', 'Los Angeles, CA 90012']",Los Angeles,4.0,1404,"{'latitude': 34.049034, 'longitude': -118.240347}",2.0
Lightning Media,"['1415 N Cahuenga Blvd', 'Los Angeles, CA 90028']",Los Angeles,5.0,7,"{'latitude': 34.096401, 'longitude': -118.329811}",
The Fig House,"['6433 N Figueroa St', 'Los Angeles, CA 90042']",Los Angeles,4.0,36,"{'latitude': 34.118877, 'longitude': -118.183983}",
ProCore Productions,"['1976 S La Cienega Blvd', 'Ste C-387', 'Los Angeles, CA 90034']",Los Angeles,5.0,6,"{'latitude': 34.0405, 'longitude': -118.37654}",
Arpi Design,"['313 E Broadway', 'Ste 10763', 'Glendale, CA 91205']",Glendale,5.0,3,"{'latitude': 34.1466245, 'longitude': -118.2519928}",
Ocean Front Entertainment,"['1235 West El Segundo Blvd', 'Gardena, CA 90247']",Gardena,5.0,2,"{'latitude': 33.9168271, 'longitude': -118.2975647}",
New Legacy Productions,"['7057 Lexington Ave', 'Los Angeles, CA 90038']",Los Angeles,4.5,4,"{'latitude': 34.092757, 'longitude': -118.343138}",
Flash Monkey Studios,"['335 W 31st St', 'Ste A', 'Los Angeles, CA 90007']",Los Angeles,5.0,4,"{'latitude': 34.0230555513913, 'longitude': -118.275994798781}",
