Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
BK Actors Self-Tape,"['141 Flushing Ave', 'Bldg 77 ,Ste 1336', 'Brooklyn Navy Yard', 'Brooklyn, NY 11205']",Brooklyn,5.0,14,"{'latitude': 40.6985551, 'longitude': -73.9712029}",,wvWXLBTqF4JdD5_QCXiR_g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'specialtyschools', 'title': 'Specialty Schools'}, {'alias': 'studiotaping', 'title': 'Studio Taping'}]",40.6985551,-73.97120290000001
MRD Productions,"['500 W 30th St', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.75194, 'longitude': -74.00156}",,11ZsPglSePRSoLjdEIdpNA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'marketing', 'title': 'Marketing'}, {'alias': 'advertising', 'title': 'Advertising'}]",40.751940000000005,-74.00156
V-Productions,"['469 7th Ave', 'New York, NY 10018']",New York,5.0,1,"{'latitude': 40.7519226, 'longitude': -73.9894887}",,DVB8M-lrtk1lQmPu63168A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7519226,-73.9894887
Dan Simon Media,"['New York, NY 10065']",New York,5.0,2,"{'latitude': 40.76459, 'longitude': -73.96363}",,4u4TSJHl3cplBAVTqSRMKw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]",40.764590000000005,-73.96363000000001
Dataworks,"['10 E 39th St', 'Fl 5', 'New York, NY 10016']",New York,5.0,20,"{'latitude': 40.7510714, 'longitude': -73.9816058}",,2cqw10lMPcgftU71kfnBRQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'digitizingservices', 'title': 'Digitizing Services'}]",40.7510714,-73.9816058
Steiner Studios,"['15 Washington Ave', 'Brooklyn, NY 11205']",Brooklyn,4.5,7,"{'latitude': 40.6983157794782, 'longitude': -73.967696428299}",,vWjWvJFG64W9Mti7EvmgYQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.6983157794782,-73.96769642829899
Miller/Datri Entertainment,"['600 Fifth Ave', 'Fl 2', 'New York, NY 10020']",New York,5.0,4,"{'latitude': 40.758596, 'longitude': -73.9784575}",,zmSdSoGm60eY6Jvl6bz4pA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.758596000000004,-73.97845749999999
Mind of Who Productions,"['193 Marcus Garvey Blvd', 'Brooklyn, NY 11221']",Brooklyn,4.5,2,"{'latitude': 40.691765, 'longitude': -73.939434}",,kPkv6b0jS96L0MHtQJ6O6Q,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'marketing', 'title': 'Marketing'}]",40.691765000000004,-73.93943399999999
Silentface,"['86 Menahan St', 'Ste 2L', 'Brooklyn, NY 11221']",Brooklyn,5.0,1,"{'latitude': 40.69445, 'longitude': -73.92036}",,Y_omLPmjGaeDVEvfMgn67w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.69445,-73.92036
Iris Cinematics,"['121 Newark Ave', 'Ste 506', 'Jersey City, NJ 07302']",Jersey City,5.0,1,"{'latitude': 40.7199096679688, 'longitude': -74.0432891845703}",,2eJfWKhPxnAwqylZN7S-4g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7199096679688,-74.0432891845703
