Name,Address,City,Rating,Review Count,Coordinates,Price
Red Wall Productions,"['400 W 43rd St', 'Manhattan, NY 10036']",Manhattan,5.0,1,"{'latitude': 40.7590979, 'longitude': -73.9924507}",
SkyTown Entertainment,"['5 Crosby St', 'Ste 2F', 'New York, NY 10013']",New York,5.0,21,"{'latitude': 40.719785, 'longitude': -74.0002426}",
Afterimaging,"['Brooklyn, NY 11216']",Brooklyn,4.0,1,"{'latitude': 40.67918, 'longitude': -73.94932}",
Dynasty Films Production Group,"['Queens, NY 11413']",Queens,5.0,1,"{'latitude': 40.67216, 'longitude': -73.74929}",
Good Brother,"['68 Jay St', 'Ste 515', 'Brooklyn, NY 11201']",Brooklyn,5.0,1,"{'latitude': 40.7027612, 'longitude': -73.9867783}",
Beyond Studios NYC,"['272 Seigel St', 'Brooklyn, NY 11206']",Brooklyn,4.5,2,"{'latitude': 40.7051734924316, 'longitude': -73.9341125488281}",
Le JIT Productions,"['544 Park Ave', 'Brooklyn, NY 11205']",Brooklyn,5.0,1,"{'latitude': 40.696704, 'longitude': -73.95333}",
Digital Art Video,"['85-06 60th Ave', 'Middle Village, NY 11379']",Middle Village,5.0,1,"{'latitude': 40.7294388, 'longitude': -73.8748016}",
Lytehouse Studio,"['356 Devoe St', 'Brooklyn, NY 11211']",Brooklyn,5.0,1,"{'latitude': 40.71368, 'longitude': -73.9359377}",
Valerie Terranova Photography,"['New York, NY 10029']",New York,5.0,2,"{'latitude': 40.79138, 'longitude': -73.94481}",
Dataworks,"['10 E 39th St', 'Fl 5', 'New York, NY 10016']",New York,5.0,20,"{'latitude': 40.7510714, 'longitude': -73.9816058}",
Technicolor PostWorks,"['1411 Broadway', 'New York, NY 10018']",New York,5.0,1,"{'latitude': 40.7542267, 'longitude': -73.9875942}",
Gowanus Loft,"['61 9th St', 'Loft C8', 'Brooklyn, NY 11215']",Brooklyn,3.0,2,"{'latitude': 40.6737765661381, 'longitude': -73.9956182037049}",
Dan Simon Media,"['New York, NY 10065']",New York,5.0,2,"{'latitude': 40.76459, 'longitude': -73.96363}",
Transcendent Enterprise,"['121 West 27 St', 'Ste 1003c', 'New York, NY 10010']",New York,5.0,7,"{'latitude': 40.7460684, 'longitude': -73.9919615}",
Bond Street Studio,"['235 Bond St', 'Brooklyn, NY 11217']",Brooklyn,5.0,4,"{'latitude': 40.682204, 'longitude': -73.987889}",
Necessary Studios,"['25-19 Borden Ave', 'Ste 204', 'Long Island City, NY 11101']",Long Island City,5.0,3,"{'latitude': 40.73974, 'longitude': -73.9444199}",
ActorIntro,"['555 West 59th St', 'Holbrook Studio', 'New York, NY 10019']",New York,4.0,5,"{'latitude': 40.771451, 'longitude': -73.989385}",
DZ Productions LLC,"['Westwood, NJ 07675']",Westwood,5.0,1,"{'latitude': 40.7368521479561, 'longitude': -74.0288829803467}",
Stylish Ev Productions,"['1052 Longfellow Ave', 'Bronx, NY 10459']",Bronx,5.0,1,"{'latitude': 40.82477, 'longitude': -73.88759}",
Studio 253 NYC @ E.C. Pro Video Systems,"['Ec Pro Video Systems Inc', '253 W 51st St , Fl 3 S', 'New York, NY 10019']",New York,5.0,1,"{'latitude': 40.7628288, 'longitude': -73.9851837}",
Michael Justin Films,"['34 W 73rd St', 'New York, NY 10023']",New York,5.0,17,"{'latitude': 40.9547520442269, 'longitude': -73.8106155395508}",
