Name,Address,City,Rating,Review Count,Coordinates,Price
The Moth,"['126 Crosby St', 'Housing Works Bookstore Cafe', 'New York, NY 10012']",New York,5.0,8,"{'latitude': 40.72454, 'longitude': -73.9965931}",
Nightmare,"['Noho Events Ctr', '623 Broadway', 'New York, NY 10012']",New York,2.5,130,"{'latitude': 40.719156, 'longitude': -73.986272}",
Marea,"['240 Central Park S', 'New York, NY 10019']",New York,4.0,2096,"{'latitude': 40.7674213694566, 'longitude': -73.9810554368179}",3.0
TCM DJ Events,"['25 Ten Eyck St', 'Ste 3', 'Brooklyn, NY 11206']",Brooklyn,5.0,2,"{'latitude': 40.7098, 'longitude': -73.9498}",
Boucherie West Village,"['99 7th Ave S', 'New York, NY 10014']",New York,4.5,1548,"{'latitude': 40.733063, 'longitude': -74.0028772}",3.0
Vinegar Hill House,"['72 Hudson Ave', 'Brooklyn, NY 11201']",Brooklyn,3.5,663,"{'latitude': 40.70275, 'longitude': -73.98124}",3.0
Jelo Paper & Decor,"['7620 17th Ave', 'Brooklyn, NY 11214']",Brooklyn,5.0,39,"{'latitude': 40.613982, 'longitude': -73.999584}",
Ad Hoc | Collective,"['13 Christopher St', 'Lower Level', 'New York, NY 10014']",New York,5.0,65,"{'latitude': 40.73403, 'longitude': -74.00048}",2.0
Baby Bodyguards,"['1724 Hendrickson St', 'Brooklyn, NY 11234']",Brooklyn,5.0,34,"{'latitude': 40.61681, 'longitude': -73.93217}",
T Schreiber Studio & Theatre,"['151 W 26th St', 'New York, NY 10001']",New York,4.5,20,"{'latitude': 40.745739, 'longitude': -73.9933472}",
Westside Theatre,"['407 W 43rd St', 'New York, NY 10036']",New York,4.0,57,"{'latitude': 40.75945, 'longitude': -73.9927}",
Lumina,"['1123 Broadway', 'Ste 1018', 'New York, NY 10010']",New York,5.0,18,"{'latitude': 40.74332, 'longitude': -73.98924}",
Art House Productions,"['262 17th St', 'Jersey City, NJ 07310']",Jersey City,5.0,6,"{'latitude': 40.7341059, 'longitude': -74.0443373}",2.0
jojoSOUL,"['Studio 1R-Bushwick', 'Brooklyn, NY 11237']",Brooklyn,5.0,5,"{'latitude': 40.696444909137, 'longitude': -73.9268410205841}",
dzine it,"['26 W 23rd St', 'Fl 4', 'New York, NY 10010']",New York,5.0,1,"{'latitude': 40.74178, 'longitude': -73.99086}",
Cha-An,"['230 E 9th St', 'Fl 2', 'New York, NY 10003']",New York,4.0,1796,"{'latitude': 40.72947, 'longitude': -73.98813}",2.0
Boucherie Union Square,"['225 Park Ave S', 'New York, NY 10003']",New York,4.5,853,"{'latitude': 40.73715, 'longitude': -73.98789}",3.0
Le Relais De Venise L'Entrecôte,"['590 Lexington Ave', 'New York, NY 10022']",New York,4.0,822,"{'latitude': 40.7577089110773, 'longitude': -73.9717626571655}",2.0
The Capital Grille,"['155 E 42nd St', 'New York, NY 10017']",New York,4.0,817,"{'latitude': 40.75114, 'longitude': -73.97491}",3.0
Threshold Recording Studios NYC,"['440 W 41st St', 'New York, NY 10036']",New York,5.0,10,"{'latitude': 40.758406, 'longitude': -73.994913}",
