Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Nicholas Day Spa & Salon,"['203 Wolfs Ln', 'Pelham, NY 10803']",Pelham,4.0,17,"{'latitude': 40.9068361, 'longitude': -73.8112931}",3.0,TNdXgXqP1vHHewqCcS5CDQ,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'blowoutservices', 'title': 'Blow Dry/Out Services'}]"
Bangz Salon and Spa,"['23 S Fullerton Ave', 'Montclair, NJ 07042']",Montclair,4.0,295,"{'latitude': 40.81304, 'longitude': -74.21753}",3.0,iM-IsYSRIDlinOkEDdeVBg,"[{'alias': 'hair', 'title': 'Hair Salons'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'makeupartists', 'title': 'Makeup Artists'}]"
Fabulous Touch Spa & Wellness Center,"['2799 Coney Island Ave', 'Fl 4', 'Brooklyn, NY 11235']",Brooklyn,4.5,36,"{'latitude': 40.588326, 'longitude': -73.960069}",2.0,tphIk8uqwQ0z2WQ_oHEdzA,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'laser_hair_removal', 'title': 'Laser Hair Removal'}]"
A Moment to Myself,"['515 4th St', 'Hoboken, NJ 07030']",Hoboken,5.0,1,"{'latitude': 40.7424792, 'longitude': -74.0374845}",,ajlaYXAhyBKAoJhQKd0tPQ,"[{'alias': 'spas', 'title': 'Day Spas'}]"
West Nail,"['2271 Broadway', 'New York, NY 10024']",New York,4.5,30,"{'latitude': 40.78567, 'longitude': -73.97891}",,EZ6yCOzKd2i09qO0gjFb5g,"[{'alias': 'othersalons', 'title': 'Nail Salons'}, {'alias': 'waxing', 'title': 'Waxing'}, {'alias': 'massage', 'title': 'Massage'}]"
healme.nyc,"['44-02 23rd St', 'Ste 516', 'Long Island City, NY 11101']",Long Island City,5.0,4,"{'latitude': 40.748683, 'longitude': -73.944833}",,AG3irsDyjq_4c34P0ZSbEA,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'acupuncture', 'title': 'Acupuncture'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Strive Total Wellness,"['131 E 31st St', 'New York, NY 10016']",New York,5.0,30,"{'latitude': 40.7447205, 'longitude': -73.9812775}",,aNP8sqRfYrF8gwXO-aITJQ,"[{'alias': 'physicaltherapy', 'title': 'Physical Therapy'}, {'alias': 'chiropractors', 'title': 'Chiropractors'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
J J Home Spa,"['4329 Broadway', 'Ste 1', 'New York, NY 10033']",New York,3.5,19,"{'latitude': 40.85263, 'longitude': -73.93487}",1.0,5QAApykVq0otaFHkYljv6A,"[{'alias': 'spas', 'title': 'Day Spas'}]"
ACA Acupuncture & Wellness,"['156 William St', 'Ste 801', 'New York, NY 10038']",New York,4.5,2,"{'latitude': 40.709835, 'longitude': -74.00539}",,16qhCH41Szt24BHA6QMH4w,"[{'alias': 'acupuncture', 'title': 'Acupuncture'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'physicaltherapy', 'title': 'Physical Therapy'}]"
Blooming Nail Spa,"['87 Rivington St', 'New York, NY 10002']",New York,4.5,26,"{'latitude': 40.720057, 'longitude': -73.989001}",,HYAxH67UP3CP2k5N80N5Bw,"[{'alias': 'othersalons', 'title': 'Nail Salons'}, {'alias': 'waxing', 'title': 'Waxing'}, {'alias': 'eyebrowservices', 'title': 'Eyebrow Services'}]"
Do'ssage Massage & Bodywork,"['2305 N Wood Ave', 'Ste 2', 'Roselle, NJ 07203']",Roselle,5.0,7,"{'latitude': 40.638213, 'longitude': -74.265211}",,9OQFA-XdML9xETsyhh_pWA,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Massage Envy - Rego Park,"['89-44 Metropolitan Ave', 'Rego Park, NY 11374']",Rego Park,3.5,30,"{'latitude': 40.7117519650624, 'longitude': -73.8606072217225}",2.0,GBv9m3xR1XkApXRtZ9MtNQ,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}]"
Elite Day Spa,"['29 W 46th St', 'Fl 2', 'New York, NY 10036']",New York,4.0,191,"{'latitude': 40.75675, 'longitude': -73.98015}",2.0,dZiXyuCKAvL-K4r7g-KXkQ,"[{'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'waxing', 'title': 'Waxing'}, {'alias': 'hair', 'title': 'Hair Salons'}]"
Elements Massage - Nutley,"['244 Franklin Ave', 'Nutley, NJ 07110']",Nutley,4.0,84,"{'latitude': 40.816016, 'longitude': -74.161467}",2.0,Bel4w1qs6XzE-8_V89tTLw,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Shibumi Spa,"['80 Leonard St', 'New York, NY 10013']",New York,3.5,17,"{'latitude': 40.71726, 'longitude': -74.00508}",3.0,3ebqW4Xfv7HpM7IDGA45aQ,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}]"
The Salon at Bergdorf Goodman,"['754 5th Ave', 'Fl 9', 'New York, NY 10019']",New York,5.0,6,"{'latitude': 40.76359, 'longitude': -73.97374}",,Sluk22zyEAbEvyq-hDXQww,"[{'alias': 'othersalons', 'title': 'Nail Salons'}, {'alias': 'menshair', 'title': ""Men's Hair Salons""}]"
Brazil Rio Spa,"['90 Worth St', 'New York, NY 10013']",New York,4.0,115,"{'latitude': 40.7164289, 'longitude': -74.0048806}",2.0,_QqgFxRJ122NJ-kJRTH9Dg,"[{'alias': 'hair', 'title': 'Hair Salons'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'waxing', 'title': 'Waxing'}]"
La Casa Spa and Wellness Center,"['41 E 20th St', 'Ste 2', 'New York, NY 10003']",New York,3.5,35,"{'latitude': 40.73888, 'longitude': -73.98851}",,3lxg9pHQ7sH6Io4hbx2vHg,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'floatspa', 'title': 'Float Spa'}, {'alias': 'colonics', 'title': 'Colonics'}]"
Gleam Aesthetics,"['2 Spencer Pl', 'Ste 9', 'Scarsdale, NY 10583']",Scarsdale,5.0,6,"{'latitude': 40.989625, 'longitude': -73.807571}",,jQj3WNHhkMnQL4UgWRDtdQ,"[{'alias': 'medicalspa', 'title': 'Medical Spas'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'laser_hair_removal', 'title': 'Laser Hair Removal'}]"
Marysol’s Beauty Works,"['982 Stuyvesant Ave', 'Union, NJ 07083']",Union,4.5,22,"{'latitude': 40.69602, 'longitude': -74.27066}",2.0,dOtwOrfgdo0doKB6-i0Heg,"[{'alias': 'waxing', 'title': 'Waxing'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Rani Spa,"['37-09 30th Ave', 'Queens, NY 11103']",Queens,2.0,13,"{'latitude': 40.76466, 'longitude': -73.91602}",1.0,hik3f1SxkxZGFDH0XmAchQ,"[{'alias': 'spas', 'title': 'Day Spas'}]"
Chic Massage Diva Spa,"['1129 Kennedy Blvd', 'North Bergen, NJ 07047']",North Bergen,4.0,13,"{'latitude': 40.7617039, 'longitude': -74.0429921}",2.0,txPkz2A2Sty7UY-h7DAS9g,"[{'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'oxygenbars', 'title': 'Oxygen Bars'}]"
