Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
Kang Ho Dong Baekjeong,"['1 E 32nd St', 'New York, NY 10016']",New York,4.0,1289,"{'latitude': 40.747173576622, 'longitude': -73.9852144232788}",3.0,x9ADy3a--S_6Oqn_1KLipA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",40.747173576622,-73.9852144232788
Hahm Ji Bach,"['40-11 149th Pl', 'Flushing, NY 11354']",Flushing,4.0,1157,"{'latitude': 40.763106, 'longitude': -73.814917}",2.0,c06A8F4Z3hP5tJ2VetxCjA,"[{'alias': 'korean', 'title': 'Korean'}]",40.763106,-73.814917
Silver Factory,"['270 South 5th St', 'Brooklyn, NY 11211']",Brooklyn,4.5,210,"{'latitude': 40.709227, 'longitude': -73.958598}",2.0,L7_siqDfU4-ZA17YtA-SBg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}]",40.709227,-73.958598
Boka,"['9 St Marks Pl', 'New York, NY 10003']",New York,3.5,1542,"{'latitude': 40.729519, 'longitude': -73.989104}",2.0,GDWVTV11eq92ElXD9mstBw,"[{'alias': 'korean', 'title': 'Korean'}]",40.729519,-73.989104
KAL,"['34-05 30th Ave', 'Astoria, NY 11103']",Astoria,4.5,178,"{'latitude': 40.76584, 'longitude': -73.91859}",2.0,YqWXNq0Ku7cGb6Zj1j43Pw,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",40.76584,-73.91859
Doma,"['43-43 41st St', 'Sunnyside, NY 11104']",Sunnyside,4.0,198,"{'latitude': 40.7446884, 'longitude': -73.922957}",2.0,q1gZLXETOCkRrOESCcjdqw,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",40.7446884,-73.922957
Mokja,"['3519 Broadway', 'Astoria, NY 11106']",Astoria,3.5,298,"{'latitude': 40.7602569466645, 'longitude': -73.9214469280272}",2.0,HKlcHprrOCbwMw6x71zYLg,"[{'alias': 'korean', 'title': 'Korean'}]",40.7602569466645,-73.9214469280272
Mokja,"['1663 1st Ave', 'New York, NY 10028']",New York,4.0,143,"{'latitude': 40.77744, 'longitude': -73.94931}",2.0,gvUSss0MIPnNC-rph2e3vQ,"[{'alias': 'korean', 'title': 'Korean'}]",40.77744,-73.94931
Jungsik,"['2 Harrison St', 'New York, NY 10013']",New York,4.5,602,"{'latitude': 40.7188032533572, 'longitude': -74.0090829725856}",4.0,fVsH6QIJPzXpVbgmeiolsA,"[{'alias': 'korean', 'title': 'Korean'}]",40.7188032533572,-74.0090829725856
JUA,"['36 E 22nd St', 'New York, NY 10010']",New York,5.0,48,"{'latitude': 40.739694, 'longitude': -73.987832}",,fX_E2J6LqK6u77zNa8xyJQ,"[{'alias': 'korean', 'title': 'Korean'}]",40.739694,-73.987832
Dokebi Bar & Grill,"['199 Grand St', 'Brooklyn, NY 11211']",Brooklyn,3.5,389,"{'latitude': 40.71421, 'longitude': -73.9603}",2.0,BIjqonwpbOqn-YRxFqcNPg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'bbq', 'title': 'Barbeque'}]",40.71421,-73.9603
Anytime,"['23 W 32nd St', 'Fl 3', 'New York, NY 10001']",New York,4.5,1440,"{'latitude': 40.74779, 'longitude': -73.98674}",2.0,VvsZAnEwU4c8Xkyrzx05Nw,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",40.74779,-73.98674
The Woo,"['206 Spring St', 'New York, NY 10012']",New York,4.0,101,"{'latitude': 40.7253, 'longitude': -74.00371}",,sHVnV3l2_mQefULh0mvwUA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",40.7253,-74.00371
Danji,"['346 W 52nd St', 'New York, NY 10019']",New York,4.0,1012,"{'latitude': 40.764, 'longitude': -73.98686}",2.0,FeSynfcDT4qB2kDixHUQCA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",40.764,-73.98686
Lim's Kitchen,"['38-40 Crescent St', 'Long island City, NY 11101']",Long island City,5.0,225,"{'latitude': 40.75497, 'longitude': -73.93692}",,HiTAdo-v0S1nSfkXfynnHg,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'korean', 'title': 'Korean'}]",40.75497,-73.93692
Jongro BBQ,"['22 W 32nd St', 'Fl 2', 'New York, NY 10001']",New York,4.0,2002,"{'latitude': 40.747514, 'longitude': -73.986884}",2.0,FZpm4_fbd6P984foOUejWg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",40.747514,-73.986884
Rice kitchen,"['204 Spring St', 'New York, NY 10012']",New York,5.0,54,"{'latitude': 40.725166, 'longitude': -74.003712}",,HUKn7SlSjYtemmPiGLnD2w,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",40.725166,-74.003712
ON,"['110 Madison Ave', '1FL', 'New York, NY 10016']",New York,4.5,159,"{'latitude': 40.74502, 'longitude': -73.98513}",,BtVnZmPY51ZWGY63-mzJ7A,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.74502,-73.98513
The Jin,"['856 10th Ave', 'New York, NY 10019']",New York,4.5,294,"{'latitude': 40.768541, 'longitude': -73.988734}",2.0,orYWYTk6kNK1YODsADk_tg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'ramen', 'title': 'Ramen'}]",40.768541,-73.988734
